CM,Date,CM Category,Credit amount,Redemption,Spend,Generation,Merchant
00872626,2/1/2023,Existing,200,116,828,Baby Bommers+,AWS
00872628,11/1/2023,New,150,58,268,Gen Z,LinkedIn
00872645,7/1/2023,New,50,16,931,Millennial,IBM
00872629,10/1/2023,New,80,29,629,Millennial,Dell
00873640,3/1/2023,Existing,150,87,311,Gen X,Facebook
00873561,6/1/2023,Existing,50,43,823,Gen X,Dell
00873649,2/1/2023,New,80,1,319,Gen X,REA Group
00873738,8/1/2023,New,70,51,260,Baby Bommers+,Dulux
00873727,11/1/2023,New,90,81,239,Baby Bommers+,Balaclava Glass
00873765,1/1/2023,Existing,100,6,672,Baby Bommers+,Middy's
00872007,8/1/2023,Existing,900,639,485,Gen X,L&H
00873706,3/1/2023,New,120,12,460,Gen Z,Rexel
00873710,2/1/2023,New,250,15,895,Millennial,SITA
00873709,2/1/2023,New,200,69,782,Baby Bommers+,Tradelink
00873725,10/1/2023,Existing,150,34,680,Gen X,Swan Plumbing
00873712,12/1/2023,Existing,50,5,1481,Gen Z,Samios
00873718,7/1/2023,New,80,69,184,Gen X,BP
00873935,10/1/2023,New,150,103,716,Gen X,Caltex
00873781,12/1/2023,New,50,33,360,Baby Bommers+,Flexiglass
00873911,12/1/2023,Existing,80,21,408,Millennial,Damar CDC
00873928,5/1/2023,Existing,70,59,541,Millennial,Microsoft
00873822,10/1/2023,New,90,34,821,Gen X,Google
00873986,11/1/2023,New,100,30,312,Gen Z,AWS
00874125,9/1/2023,New,900,670,1397,Gen Z,LinkedIn
00873966,9/1/2023,Existing,120,17,774,Gen X,IBM
00874294,8/1/2023,Existing,250,208,883,Baby Bommers+,Dell
00873977,9/1/2023,New,200,10,227,Baby Bommers+,Facebook
00873964,5/1/2023,New,150,77,813,Baby Bommers+,Dell
00873698,12/1/2023,New,50,3,614,Baby Bommers+,REA Group
00874257,3/1/2023,Existing,80,3,117,Gen Z,Dulux
00874120,4/1/2023,Existing,150,16,960,Millennial,Balaclava Glass
00872173,8/1/2023,New,50,40,387,Gen Z,Middy's
00872343,10/1/2023,New,80,67,604,Baby Bommers+,L&H
00872247,8/1/2023,New,70,43,305,Gen X,Rexel
00873716,8/1/2023,Existing,90,68,288,Baby Bommers+,SITA
00873971,1/1/2023,Existing,100,76,876,Gen X,Tradelink
00874541,5/1/2023,New,900,1,35,Gen Z,Swan Plumbing
00874557,5/1/2023,New,120,85,35,Gen Z,Samios
00874161,1/1/2023,New,250,118,737,Gen Z,BP
00873872,1/1/2023,Existing,200,62,420,Baby Bommers+,Caltex
00874012,8/1/2023,Existing,150,70,905,Millennial,Flexiglass
00868989,4/1/2023,New,50,30,696,Gen Z,Damar CDC
00874660,12/1/2023,New,80,37,897,Baby Bommers+,Microsoft
00874550,7/1/2023,New,150,55,942,Millennial,Google
00874672,10/1/2023,Existing,50,12,880,Gen X,AWS
00874624,1/1/2023,Existing,80,71,109,Gen X,LinkedIn
00874602,1/1/2023,New,70,22,719,Millennial,IBM
00874586,6/1/2023,New,90,55,930,Gen Z,Dell
00874571,11/1/2023,New,100,42,630,Gen Z,Facebook
00874671,4/1/2023,Existing,900,536,196,Gen Z,Dell
00874646,8/1/2023,Existing,120,20,385,Gen Z,REA Group
00875906,1/1/2023,New,250,170,929,Gen X,Dulux
00873692,2/1/2023,New,200,83,194,Millennial,Balaclava Glass
00873648,8/1/2023,New,150,137,413,Gen X,Middy's
00872589,5/1/2023,Existing,50,33,402,Gen X,L&H
00874978,1/1/2023,Existing,80,71,192,Baby Bommers+,Rexel
00874559,12/1/2023,New,150,30,898,Gen Z,SITA
00874862,4/1/2023,New,50,26,882,Gen Z,Tradelink
00874759,3/1/2023,New,80,75,510,Gen Z,Swan Plumbing
00874609,10/1/2023,Existing,70,58,211,Baby Bommers+,Samios
00874829,10/1/2023,Existing,90,29,417,Gen Z,BP
00874838,7/1/2023,New,100,43,212,Gen Z,Caltex
00874839,8/1/2023,New,900,764,861,Millennial,Flexiglass
00874895,9/1/2023,New,120,68,532,Millennial,Damar CDC
00876837,12/1/2023,Existing,250,73,984,Gen Z,Microsoft
00876872,6/1/2023,Existing,200,177,669,Gen Z,Google
00876929,7/1/2023,New,150,54,953,Gen Z,AWS
00876922,1/1/2023,New,50,29,917,Millennial,LinkedIn
00876894,8/1/2023,New,80,54,285,Millennial,IBM
00869798,10/1/2023,Existing,150,98,182,Baby Bommers+,Dell
00876889,4/1/2023,Existing,50,25,461,Baby Bommers+,Facebook
00876936,4/1/2023,New,80,16,181,Baby Bommers+,Dell
00877073,3/1/2023,New,70,55,846,Gen X,REA Group
00877070,8/1/2023,New,90,4,164,Gen X,Dulux
00877126,8/1/2023,Existing,100,35,701,Gen X,Balaclava Glass
00877252,9/1/2023,Existing,900,590,514,Gen Z,Middy's
00876320,4/1/2023,New,120,96,536,Gen Z,L&H
00877400,1/1/2023,New,250,12,321,Gen X,Rexel
00877396,2/1/2023,New,200,165,423,Millennial,SITA
00877406,3/1/2023,Existing,150,114,673,Gen X,Tradelink
00877363,9/1/2023,Existing,50,42,495,Gen X,Swan Plumbing
00877280,12/1/2023,New,80,6,406,Gen X,Samios
00877417,8/1/2023,New,150,60,610,Baby Bommers+,BP
00877524,9/1/2023,New,50,3,711,Millennial,Caltex
00877410,2/1/2023,Existing,80,20,696,Gen Z,Flexiglass
00876972,4/1/2023,Existing,70,35,267,Gen Z,Damar CDC
00878650,4/1/2023,New,90,85,347,Millennial,Microsoft
00878834,1/1/2023,New,100,43,115,Millennial,Google
00878728,9/1/2023,New,900,152,603,Gen Z,AWS
00878599,10/1/2023,Existing,120,81,605,Baby Bommers+,LinkedIn
00878833,9/1/2023,Existing,250,86,227,Baby Bommers+,IBM
00878835,4/1/2023,New,200,13,996,Baby Bommers+,Dell
00877314,4/1/2023,New,150,21,777,Millennial,Facebook
00878970,8/1/2023,New,50,21,472,Millennial,Dell
00878859,10/1/2023,Existing,80,75,922,Gen Z,REA Group
00872187,6/1/2023,Existing,150,133,805,Baby Bommers+,Dulux
00877625,4/1/2023,New,50,26,494,Gen Z,Balaclava Glass
00879256,4/1/2023,New,80,26,601,Gen Z,Middy's
00879277,3/1/2023,New,70,44,741,Gen X,L&H
00879375,5/1/2023,Existing,90,31,738,Gen X,Rexel
00879379,9/1/2023,Existing,100,55,214,Baby Bommers+,SITA
00879327,2/1/2023,New,900,898,675,Gen X,Tradelink
00879249,3/1/2023,New,120,98,337,Baby Bommers+,Swan Plumbing
00879253,10/1/2023,New,250,38,135,Gen Z,Samios
00876973,8/1/2023,Existing,200,101,693,Millennial,BP
00879517,5/1/2023,Existing,150,60,150,Millennial,Caltex
00880046,4/1/2023,New,50,22,583,Baby Bommers+,Flexiglass
00880067,11/1/2023,New,80,23,960,Millennial,Damar CDC
00880175,12/1/2023,New,150,19,486,Baby Bommers+,Microsoft
00880168,4/1/2023,Existing,50,33,935,Gen X,Google
00880169,8/1/2023,Existing,80,64,690,Gen X,AWS
00880047,9/1/2023,New,70,57,668,Baby Bommers+,LinkedIn
00880167,4/1/2023,New,90,13,534,Gen Z,IBM
00880135,1/1/2023,New,100,92,487,Gen X,Dell
00880177,11/1/2023,Existing,900,515,370,Gen X,Facebook
00880128,1/1/2023,Existing,120,81,760,Gen Z,Dell
00880088,1/1/2023,New,250,117,309,Gen X,REA Group
00880089,5/1/2023,New,200,75,150,Gen X,Dulux
00880298,10/1/2023,New,150,53,575,Millennial,Balaclava Glass
00880318,8/1/2023,Existing,50,33,273,Gen X,Middy's
00880258,7/1/2023,Existing,80,63,751,Gen X,L&H
00880375,2/1/2023,New,150,0,778,Millennial,Rexel
00880370,4/1/2023,New,50,35,290,Millennial,SITA
00880371,10/1/2023,New,80,49,277,Millennial,Tradelink
00880439,9/1/2023,Existing,70,52,176,Millennial,Swan Plumbing
00880011,8/1/2023,Existing,90,20,873,Millennial,Samios
00879399,3/1/2023,New,100,22,294,Baby Bommers+,BP
00880440,8/1/2023,New,900,316,193,Gen Z,Caltex
00880707,7/1/2023,New,120,101,667,Gen X,Flexiglass
00880572,4/1/2023,Existing,250,47,353,Baby Bommers+,Damar CDC
00864542,3/1/2023,Existing,200,11,205,Gen X,Microsoft
00867664,12/1/2023,New,150,112,886,Gen Z,Google
00872075,5/1/2023,New,50,22,150,Millennial,AWS
00868944,6/1/2023,New,80,69,485,Gen Z,LinkedIn
00872964,5/1/2023,Existing,150,22,150,Baby Bommers+,IBM
00872770,11/1/2023,Existing,50,17,130,Millennial,Dell
00872764,8/1/2023,New,80,8,291,Gen X,Facebook
00872622,1/1/2023,New,70,0,404,Gen X,Dell
00872646,10/1/2023,New,90,11,710,Gen Z,REA Group
00869610,11/1/2023,Existing,100,40,569,Baby Bommers+,Dulux
00869644,5/1/2023,Existing,900,59,150,Gen Z,Balaclava Glass
00873553,10/1/2023,New,120,62,580,Baby Bommers+,Middy's
00873611,10/1/2023,New,250,6,166,Gen Z,L&H
00873915,10/1/2023,New,200,34,310,Gen Z,Rexel
00871946,9/1/2023,Existing,150,0,342,Millennial,SITA
00872072,7/1/2023,Existing,50,10,214,Gen Z,Tradelink
00848941,3/1/2023,New,80,1,476,Gen Z,Swan Plumbing
00871905,9/1/2023,New,150,28,389,Gen X,Samios
00871907,1/1/2023,New,50,25,595,Millennial,BP
00873910,12/1/2023,Existing,80,77,531,Baby Bommers+,Caltex
00876653,12/1/2023,Existing,70,69,706,Gen Z,Flexiglass
00876713,9/1/2023,New,90,11,581,Gen X,Damar CDC
00876656,11/1/2023,New,100,4,895,Baby Bommers+,Microsoft
00876664,2/1/2023,New,900,207,541,Baby Bommers+,Google
00876730,1/1/2023,Existing,120,92,127,Gen Z,AWS
00876717,3/1/2023,Existing,250,50,766,Gen Z,LinkedIn
00876658,7/1/2023,New,200,109,637,Gen Z,IBM
00876721,3/1/2023,New,150,30,525,Baby Bommers+,Dell
00876712,10/1/2023,New,50,39,893,Gen Z,Facebook
00876059,4/1/2023,Existing,80,21,657,Gen Z,Dell
00876624,12/1/2023,Existing,150,150,158,Gen Z,REA Group
00876024,10/1/2023,New,50,43,448,Gen X,Dulux
00876039,2/1/2023,New,80,69,277,Millennial,Balaclava Glass
00876014,7/1/2023,New,70,59,660,Millennial,Middy's
00875474,5/1/2023,Existing,90,15,150,Baby Bommers+,L&H
00875441,1/1/2023,Existing,100,5,136,Baby Bommers+,Rexel
00874295,12/1/2023,New,900,537,205,Gen X,SITA
00874346,8/1/2023,New,120,86,251,Gen Z,Tradelink
00874872,5/1/2023,New,250,12,150,Baby Bommers+,Swan Plumbing
00874606,12/1/2023,Existing,200,182,531,Millennial,Samios
00876746,2/1/2023,Existing,150,102,288,Baby Bommers+,BP
00874647,10/1/2023,New,50,24,448,Baby Bommers+,Caltex
00864949,7/1/2023,New,80,75,548,Baby Bommers+,Flexiglass
00864950,3/1/2023,New,150,62,114,Baby Bommers+,Damar CDC
00868650,11/1/2023,Existing,50,18,645,Gen X,Microsoft
00868604,1/1/2023,Existing,80,75,360,Baby Bommers+,Google
00868642,6/1/2023,New,70,52,228,Millennial,AWS
00868652,6/1/2023,New,90,21,291,Baby Bommers+,LinkedIn
00868669,8/1/2023,New,100,13,543,Baby Bommers+,IBM
00869820,10/1/2023,Existing,900,503,460,Millennial,Dell
00869882,6/1/2023,Existing,120,114,477,Gen X,Facebook
00873199,4/1/2023,New,250,49,382,Baby Bommers+,Dell
00872430,10/1/2023,New,200,166,604,Millennial,REA Group
00872647,11/1/2023,New,150,86,707,Gen Z,Dulux
00872054,8/1/2023,Existing,50,28,860,Millennial,Balaclava Glass
00873168,9/1/2023,Existing,80,35,812,Gen X,Middy's
00872101,12/1/2023,New,150,57,918,Millennial,L&H
00870629,3/1/2023,New,50,23,457,Millennial,Rexel
00873180,4/1/2023,New,80,73,528,Gen Z,SITA
